Country,Continent,Landlocked,Neighbours,Equator,Southern,[name-letters] Starts with a vowel,[name-letters] Ends in a vowel,[name-letters] Ends in a consonant,[name-letters] Ends in A,[name-letters] Ends in N,[name-letters] Ends in -IA,[name-letters] Ends in -LAND,[name-letters] Ends in -STAN,[name-letters] Has a double letter,[name-letters] Contains no A,[name-letters] Contains no E,[name-letters] Contains an O,[name-letters] Contains an R,[name-letters] Contains a Z,[name-letters] Uses all five vowels,[name-letters] Starts with A-G,[name-letters] Starts with M-Z,[name-structure] More than one word,[name-structure] Single word,[name-length] 4 letters or fewer,[name-length] 5 letters or fewer,[name-length] 6 letters or fewer,[name-length] 7 letters or fewer,[name-length] 5 or 6 letters,[name-length] 6 or 7 letters,[name-length] 7 or 8 letters,[name-length] 8 or 9 letters,[name-length] 8 letters or more,[name-length] 9 letters or more,[name-length] 10 letters or more,[name-length] 11 letters or more,[location] In Africa,[location] In Asia,[location] In Europe,[location] In the Americas,[location] In Oceania,[location] In Africa or the Americas,[location] In Europe or Asia,[location] Entirely south of equator,[location] Entirely north of equator,[location] Equator passes through it,[borders] Landlocked,[borders] Has a sea coastline,[borders] Island (no land borders),[borders] Has at least one land border,[borders] Borders exactly one country,[borders] Borders 1 or 2 countries,[borders] Borders 2 to 4 countries,[borders] Borders 3 or more countries,[borders] Borders 4 or more countries,[borders] Borders 5 or more countries,[size] Among the ~30 largest by area,[size] Among the ~30 smallest by area,[capital] Capital starts with a vowel,[capital] Capital has 5 letters or fewer,[capital] Capital has 9 letters or more,[capital] Capital is more than one word,[capital] Capital shares the country's name,[capital] Capital starts with same letter as country,[population] Population over 100 million,[population] Population over 50 million,[population] Population under 5 million,[population] Population under 1 million,[population] Among the 20 most populous,[area] Area over 1 million km2,"[area] Area under 50,000 km2",[area] Among the 30 largest by area,[area] Among the 30 smallest by area,[language] English is a main language,[language] French is a main language,[language] Spanish is a main language,[language] Arabic is a main language,[language] Portuguese is a main language,[currency] Uses the euro,[currency] Currency is a 'dollar',[currency] Currency is a 'franc',[currency] Currency is a 'pound',[currency] Currency is a 'peso'
Saudi Arabia,AS,False,7,False,False,,Y,,Y,,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,,Y,,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,Y,,Y,,,,,Y,,,,,,
Singapore,AS,False,0,False,False,,Y,,,,,,,,,,Y,Y,,,,Y,,Y,,,,,,,,Y,Y,Y,,,,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,Y,,,Y,,Y,Y,,,,,,,Y,,Y,Y,,,,,,Y,,,
South Korea,AS,False,1,False,False,,Y,,Y,,,,,,,,Y,Y,,,,Y,Y,,,,,,,,,,Y,Y,Y,,,Y,,,,,Y,,Y,,,Y,,Y,Y,Y,,,,,,,,Y,,,,Y,,Y,,,,,,,,Y,,,,,,,,,
Sri Lanka,AS,False,0,False,False,,Y,,Y,,,,,,,Y,,Y,,,,Y,Y,,,,,,,,Y,Y,Y,,,,,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
Syria,AS,False,5,False,False,,Y,,Y,,Y,,,,,Y,,Y,,,,Y,,Y,,Y,Y,Y,Y,,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,Y,
Tajikistan,AS,True,4,False,False,,,Y,,Y,,,Y,,,Y,,,,,,Y,,Y,,,,,,,,,Y,Y,Y,,,Y,,,,,Y,,Y,,Y,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,AS,False,4,False,False,,,Y,,,,Y,,,,Y,,,,,,Y,,Y,,,,,,,Y,Y,Y,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,Y,,,,,Y,,,,,,,,,
Timor-Leste,AS,False,1,False,True,,Y,,,,,,,,Y,,Y,Y,,,,Y,,Y,,,,,,,,,Y,Y,Y,,,Y,,,,,Y,Y,,,,Y,,Y,Y,Y,,,,,,,,Y,,,,,,,Y,,,,Y,,,Y,,,,Y,,Y,,,
Turkey,AS,False,8,False,False,,,Y,,,,,,,Y,,,Y,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,Y,,,,,,,Y,,,Y,,,,,,,,,,,,,,
Turkmenistan,AS,True,4,False,False,,,Y,,Y,,,Y,,,,,Y,,,,Y,,Y,,,,,,,,,Y,Y,Y,Y,,Y,,,,,Y,,Y,,Y,,,Y,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,AS,False,2,False,False,Y,,Y,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,,Y,,,,,Y,,Y,,,Y,,Y,,Y,Y,,,,,,Y,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,
Uzbekistan,AS,True,5,False,False,Y,,Y,,Y,,,Y,,,,,,Y,,,Y,,Y,,,,,,,,,Y,Y,Y,,,Y,,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,AS,False,3,False,False,,,Y,,,,,,,,,,,,,,Y,,Y,,,,Y,,Y,Y,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,Y,Y,,,,,,Y,,,,,,Y,,,Y,,,,,Y,Y,,,,,,,,
Yemen,AS,False,2,False,False,,,Y,,Y,,,,,Y,,,,,,,Y,,Y,,Y,Y,Y,Y,,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,
Albania,EU,False,4,False,False,Y,Y,,Y,,Y,,,,,Y,,,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,
Andorra,EU,True,2,False,False,Y,Y,,Y,,,,,Y,,Y,Y,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,Y,,,Y,,Y,Y,,,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,,,Y,,Y,,,,,,Y,,,,
Austria,EU,True,8,False,False,Y,Y,,Y,,Y,,,,,Y,,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
Belarus,EU,True,5,False,False,,,Y,,,,,,,,,,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
Belgium,EU,False,4,False,False,,,Y,,,,,,,Y,,,,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,Y,Y,Y,,,,,,,,,Y,,,,,,,Y,,,,Y,,,,Y,,,,
Bosnia and Herzegovina,EU,False,3,False,False,,Y,,Y,,,,,Y,,,Y,Y,Y,,Y,,Y,,,,,,,,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
Bulgaria,EU,False,5,False,False,,Y,,Y,,Y,,,,,Y,,Y,,,Y,,,Y,,,,,,,Y,Y,Y,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
Croatia,EU,False,5,False,False,,Y,,Y,,Y,,,,,Y,Y,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,
Czechia,EU,True,4,False,False,,Y,,Y,,Y,,,,,,,,Y,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,Y,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,EU,False,1,False,False,,,Y,,,,,,,,,,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,Y,Y,,,,,,,,,Y,,,,,,,,,,Y,,,Y,,,,,,,,,
Estonia,EU,False,2,False,False,Y,Y,,Y,,Y,,,,,,Y,,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,Y,,,,
Finland,EU,False,3,False,False,,,Y,,,,Y,,,,Y,,,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
France,EU,False,8,False,False,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,Y,,,,,,Y,,,,,,,,,Y,,,,Y,,,,
Germany,EU,False,9,False,False,,,Y,,,,,,,,,,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,,,,,,Y,,,Y,,,,,,,,,,Y,,,,
Greece,EU,False,4,False,False,,Y,,,,,,,Y,Y,,,Y,,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,,Y,Y,,,,Y,,,,
Hungary,EU,True,7,False,False,,,Y,,,,,,,,Y,,Y,,,,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,EU,False,0,False,False,Y,,Y,,,,Y,,,,,,,,,,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,Y,Y,,,,,,Y,,,,,,,,,
Ireland,EU,False,1,False,False,Y,,Y,,,,Y,,,,,,Y,,,,,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,Y,Y,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,Y,,,,
Italy,EU,False,6,False,False,Y,,Y,,,,,,,,Y,,,,,,,,Y,,Y,Y,Y,Y,,,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,Y,,,,,,Y,,,,,,,,,Y,,,,Y,,,,
Latvia,EU,False,4,False,False,,Y,,Y,,Y,,,,,Y,,,,,,,,Y,,,Y,Y,Y,Y,,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,Y,Y,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,,Y,,,,
Liechtenstein,EU,True,2,False,False,,,Y,,Y,,,,,Y,,,,,,,,,Y,,,,,,,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,Y,,,Y,,Y,Y,,,,,Y,,Y,,,,,,,Y,Y,,,Y,,Y,,,,,,,,Y,,
Lithuania,EU,False,4,False,False,,Y,,Y,,Y,,,,,Y,,,,,,,,Y,,,,,,,,Y,Y,Y,,,,,Y,,,,Y,,Y,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,
Luxembourg,EU,True,3,False,False,,,Y,,,,,,,Y,,Y,Y,,,,,,Y,,,,,,,,,Y,Y,Y,,,,Y,,,,Y,,Y,,Y,,,Y,,,Y,Y,,,,Y,,,Y,,Y,Y,,,Y,Y,,,Y,,Y,,Y,,,,Y,,,,
Malta,EU,False,0,False,False,,Y,,Y,,,,,,,Y,,,,,,Y,,Y,,Y,Y,Y,Y,,,,,,,,,,Y,,,,Y,,Y,,,Y,Y,,,,,,,,,Y,,,,,,,,,Y,Y,,,Y,,Y,Y,,,,,Y,,,,
Moldova,EU,True,2,False,False,,Y,,Y,,,,,,,Y,Y,,,,,Y,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,Y,,,Y,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,
Monaco,EU,False,1,False,False,,Y,,,,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,Y,Y,,,,,,Y,,,,,Y,Y,,,Y,Y,,,Y,,Y,Y,Y,,,,Y,,,,
Montenegro,EU,False,5,False,False,,Y,,,,,,,,Y,,Y,Y,,,,Y,,Y,,,,,,,,,Y,Y,Y,,,,Y,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,Y,,,,,,Y,Y,,,Y,,,,,,,,Y,,,,
Netherlands,EU,False,2,False,False,,,Y,,,,,,,,,,Y,,,,Y,,Y,,,,,,,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,,Y,,Y,,Y,Y,,,,,,Y,,Y,,,,,,,,,,Y,,,,,,,,Y,,,,
North Macedonia,EU,True,5,False,False,,Y,,Y,,Y,,,,,,Y,Y,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,
Norway,EU,False,3,False,False,,,Y,,,,,,,,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,Y,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,
Poland,EU,False,7,False,False,,,Y,,,,Y,,,,Y,Y,,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,EU,False,1,False,False,,,Y,,,,,,,,Y,Y,Y,,,,Y,,Y,,,,,,,Y,Y,Y,,,,,,Y,,,,Y,,Y,,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
Romania,EU,False,5,False,False,,Y,,Y,,Y,,,,,Y,Y,Y,,,,Y,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
Russia,EU,False,14,False,False,,Y,,Y,,Y,,,Y,,Y,,Y,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,Y,,,,,,,,Y,Y,,,Y,Y,,Y,,,,,,,,,,,
San Marino,EU,True,1,False,False,,Y,,,,,,,,,Y,Y,Y,,,,Y,Y,,,,,,,,,Y,Y,Y,,,,,Y,,,,Y,,Y,,Y,,,Y,Y,Y,,,,,,Y,,,Y,Y,Y,Y,,,Y,Y,,,Y,,Y,,,,,,Y,,,,
Serbia,EU,True,8,False,False,,Y,,Y,,Y,,,,,,,Y,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,,,Y,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,EU,True,5,False,False,,Y,,Y,,Y,,,,,Y,Y,,,,,Y,,Y,,,,,,,Y,Y,Y,,,,,,Y,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,,,,,Y,,,,,,,,,,Y,,,,,,,,Y,,,,
Slovenia,EU,False,4,False,False,,Y,,Y,,Y,,,,,,Y,,,,,Y,,Y,,,,,,,Y,Y,Y,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,Y,Y,Y,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,Y,,,,
Spain,EU,False,5,False,False,,,Y,,Y,,,,,,Y,,,,,,Y,,Y,,Y,Y,Y,Y,,,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,
Sweden,EU,False,2,False,False,,,Y,,Y,,,,,Y,,,,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,Y,Y,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,
Switzerland,EU,True,5,False,False,,,Y,,,,Y,,,,,,Y,Y,,,Y,,Y,,,,,,,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,,,,Y,,,,,,,,,,,Y,,,,Y,,,,,,Y,,
Ukraine,EU,False,7,False,False,Y,Y,,,,,,,,,,,Y,,,,Y,,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,EU,False,1,False,False,Y,,Y,,,,,,,Y,,Y,,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,,Y,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,Y,
Antigua and Barbuda,AM,False,0,False,False,Y,Y,,Y,,,,,Y,,Y,,Y,,,Y,,Y,,,,,,,,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,,,Y,Y,,,,,,,,,Y,,,,Y,,,,,Y,Y,,,Y,,Y,Y,,,,,,Y,,,
Argentina,AM,False,5,False,True,Y,Y,,Y,,,,,,,,,Y,,,Y,,,Y,,,,,,,,Y,Y,Y,,,,,,Y,,Y,,Y,,,,Y,,Y,,,,Y,Y,Y,Y,,,,Y,Y,,,,,,,,Y,,Y,,Y,Y,Y,,,,,,,Y
Bahamas,AM,False,0,False,False,,,Y,,,,,,,,Y,,,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,,Y,,Y,,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,Y,Y,,,Y,,,Y,,,,,,Y,,,
Barbados,AM,False,0,False,False,,,Y,,,,,,,,Y,Y,Y,,,Y,,,Y,,,,,,,Y,Y,Y,,,,,,,Y,,Y,,,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,Y,,,Y,Y,,,Y,,Y,Y,,,,,,Y,,,
Belize,AM,False,2,False,False,,Y,,,,,,,,Y,,,,Y,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,,,,Y,,Y,,,Y,,,Y,,Y,,Y,Y,,,,,,,,,,,Y,,,Y,Y,,,Y,,,Y,,Y,,,,Y,,,
Bolivia,AM,True,5,False,True,,Y,,Y,,Y,,,,,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,,Y,,Y,,Y,,,Y,,,Y,,,,Y,Y,Y,Y,,,Y,,,,,,,,,,Y,,Y,,,,Y,,,,,,,
Brazil,AM,False,10,True,False,,,Y,,,,,,,,Y,,Y,Y,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,,,,Y,,Y,,,,Y,,Y,,Y,,,,Y,Y,Y,Y,,,,,,,Y,Y,Y,,,Y,Y,,Y,,Y,Y,Y,,Y,,,,,
Canada,AM,False,1,False,False,,Y,,Y,,,,,,,Y,,,,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,,,,Y,,Y,,,Y,,,Y,,Y,Y,Y,,,,,Y,,Y,,,,,,,,,,,Y,,Y,,Y,Y,,,,,Y,,,
Chile,AM,False,3,False,True,,Y,,,,,,,,Y,,,,,,Y,,,Y,,Y,Y,Y,Y,,,,,,,,,,,Y,,Y,,Y,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y
Colombia,AM,False,5,True,False,,Y,,Y,,Y,,,,,Y,Y,,,,Y,,,Y,,,,,,,Y,Y,Y,,,,,,,Y,,Y,,,,Y,,Y,,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,Y,,Y,,,,Y,,,,,,,Y
Costa Rica,AM,False,2,False,False,,Y,,Y,,,,,,,Y,Y,Y,,,Y,,Y,,,,,,,,,Y,Y,Y,,,,,,Y,,Y,,,Y,,,Y,,Y,,Y,Y,,,,,,,,,Y,,,,,Y,,,,,,,Y,,Y,,,,,,,
Cuba,AM,False,0,False,False,,Y,,Y,,,,,,,Y,,,,,Y,,,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,Y,,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y
Dominica,AM,False,0,False,False,,Y,,Y,,,,,,,Y,Y,,,,Y,,,Y,,,,,,,Y,Y,Y,,,,,,,Y,,Y,,,Y,,,Y,Y,,,,,,,,,Y,,,,,,,,,Y,Y,,,Y,,Y,Y,,,,,,Y,,,
Dominican Republic,AM,False,1,False,False,,,Y,,,,,,,,,Y,Y,,Y,Y,,Y,,,,,,,,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,,,Y,,Y,Y,Y,,,,,,,,,Y,Y,,,,,,,,,Y,,,,,Y,,,,,,,Y
Ecuador,AM,False,2,True,False,Y,,Y,,,,,,,,,Y,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,,Y,,Y,,,,Y,,Y,,Y,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,Y,,,
El Salvador,AM,False,2,False,False,Y,,Y,,,,,,,,,Y,Y,,,Y,,Y,,,,,,,,,,Y,Y,Y,,,,,Y,,Y,,,Y,,,Y,,Y,,Y,Y,,,,,,,,Y,Y,,,,,,,,,Y,,,,,Y,,,,Y,,,
Grenada,AM,False,0,False,False,,Y,,Y,,,,,,,,,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,,,Y,,Y,,,Y,,,Y,Y,,,,,,,,,Y,,,Y,Y,,,,,Y,Y,,,Y,,Y,Y,,,,,,Y,,,
Guatemala,AM,False,4,False,False,,Y,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Y,Y,Y,,,,,,Y,,Y,,,Y,,,Y,,Y,,,Y,Y,Y,,,,,,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,
Guyana,AM,False,3,False,False,,Y,,Y,,,,,,,Y,,,,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,,,,Y,,Y,,,Y,,,Y,,Y,,,Y,Y,,,,,,,Y,,,Y,,,Y,Y,,,,,,Y,,,,,,Y,,,
Haiti,AM,False,1,False,False,,Y,,,,,,,,,Y,,,,,,,,Y,,Y,Y,Y,Y,,,,,,,,,,,Y,,Y,,,Y,,,Y,,Y,Y,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,,,
Honduras,AM,False,3,False,False,,,Y,,,,,,,,Y,Y,Y,,,,,,Y,,,,,,,Y,Y,Y,,,,,,,Y,,Y,,,Y,,,Y,,Y,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,
Jamaica,AM,False,0,False,False,,Y,,Y,,,,,,,Y,,,,,,,,Y,,,,Y,,Y,Y,,,,,,,,,Y,,Y,,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,Y,,,Y,,,,,,Y,,,
Mexico,AM,False,3,False,False,,Y,,,,,,,,Y,,Y,,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,,,,Y,,Y,,,Y,,,Y,,Y,,,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,Y,,,Y,Y,,Y,,,,Y,,,,,,,Y
Nicaragua,AM,False,2,False,False,,Y,,Y,,,,,,,Y,,Y,,,,Y,,Y,,,,,,,,Y,Y,Y,,,,,,Y,,Y,,,Y,,,Y,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,
Panama,AM,False,2,False,False,,Y,,Y,,,,,,,Y,,,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,,,,Y,,Y,,,Y,,,Y,,Y,,Y,Y,,,,,,,,Y,Y,Y,Y,,,Y,,,,,,,Y,,Y,,,,,,,
Paraguay,AM,True,3,False,True,,,Y,,,,,,,,Y,,Y,,,,Y,,Y,,,,,,,Y,Y,Y,,,,,,,Y,,Y,,Y,,,Y,,,Y,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,
Peru,AM,False,5,False,True,,Y,,,,,,,,Y,,,Y,,,,Y,,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,Y,,Y,,,,Y,,Y,,,,Y,Y,Y,Y,,,Y,,,,,,,,,,Y,,Y,,,,Y,,,,,,,
Saint Kitts and Nevis,AM,False,0,False,False,,,Y,,,,,,Y,,,,,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,Y,Y,,,Y,,Y,Y,,,,,,Y,,,
Saint Lucia,AM,False,0,False,False,,Y,,Y,,Y,,,,,Y,,,,,,Y,Y,,,,,,,,,,Y,Y,Y,,,,,Y,,Y,,,Y,,,Y,Y,,,,,,,,,Y,,,,,,,,,Y,Y,,,Y,,Y,Y,,,,,,Y,,,
Saint Vincent and the Grenadines,AM,False,0,False,False,,,Y,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,Y,Y,,,Y,,Y,Y,Y,,,,,Y,,,
Suriname,AM,False,3,False,False,,Y,,,,,,,,,,,Y,,,,Y,,Y,,,,,,,Y,Y,Y,,,,,,,Y,,Y,,,Y,,,Y,,Y,,,Y,Y,,,,,,,Y,,,,,,Y,Y,,,,,,Y,,,,,,Y,,,
Trinidad and Tobago,AM,False,0,False,False,,Y,,,,,,,,,Y,Y,Y,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,,,Y,Y,,,,,,,,,Y,,,Y,Y,,,,,Y,,,,Y,,Y,Y,Y,Y,,,,Y,,,
United States,AM,False,2,False,False,Y,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,,,Y,,Y,,Y,Y,,,,Y,,,,Y,,,,Y,Y,,,Y,Y,,Y,,Y,Y,Y,,,,Y,,,
Uruguay,AM,False,2,False,True,Y,,Y,,,,,,,,Y,,Y,,,,Y,,Y,,,,Y,,Y,Y,,,,,,,,,Y,,Y,,Y,,,,Y,,Y,,Y,Y,,,,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,,,Y
Venezuela,AM,False,3,False,False,,Y,,Y,,,,,,,,,,Y,,,Y,,Y,,,,,,,,Y,Y,Y,,,,,,Y,,Y,,,Y,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
Australia,OC,False,0,False,True,Y,Y,,Y,,Y,,,,,Y,,Y,,,Y,,,Y,,,,,,,,Y,Y,Y,,,,,,,Y,,,Y,,,,Y,Y,,,,,,,,Y,,,,,,,,,,,,,Y,,Y,,Y,,,,,,Y,,,
Fiji,OC,False,0,False,True,,Y,,,,,,,,Y,Y,,,,,Y,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,Y,,,Y,,,,Y,Y,,,,,,,,,,,Y,,,,,,,Y,Y,,,Y,,,Y,,,,,,Y,,,
Kiribati,OC,False,0,True,False,,Y,,,,,,,,,Y,,Y,,,,,,Y,,,,,,,Y,Y,Y,,,,,,,,Y,,,,,Y,,Y,Y,,,,,,,,,Y,,,,,,,,,Y,Y,,,Y,,Y,Y,,,,,,Y,,,
